Category,GO BP Term,Hepatocytes,.,Patient 2177,..,Patient 2280,...,Patient 2556,....,Patient 2766,.....,Patient 3196,......,Patient 3477,.......
GOTERM_BP_5,sphingolipid biosynthetic process,3.80E-01,17,8.50E-01,13,1.00E+00,#N/A,7.80E-01,12,8.50E-01,15,8.90E-01,13,7.20E-01,14
GOTERM_BP_5,"transcription, DNA-dependent",4.80E-01,140,6.80E-01,133,1.80E-01,168,8.60E-01,111,7.80E-01,149,7.80E-01,135,7.50E-01,129
GOTERM_BP_5,regulation of cell projection assembly,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,epithelial to mesenchymal transition,1.00E+00,#N/A,1.00E+00,#N/A,7.30E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of synaptogenesis,1.00E+00,#N/A,1.00E+00,#N/A,7.30E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of smooth muscle contraction,3.20E-01,11,2.90E-01,11,3.70E-01,12,6.40E-02,12,3.20E-01,12,5.20E-01,10,4.40E-01,10
GOTERM_BP_5,DNA geometric change,1.00E+00,#N/A,1.60E-01,12,3.70E-01,12,1.00E+00,#N/A,5.00E-01,11,5.20E-01,10,4.40E-01,10
GOTERM_BP_5,alpha-beta T cell activation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of myeloid leukocyte differentiation,1.00E+00,#N/A,1.00E+00,#N/A,7.30E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,pancreas development,8.50E-01,15,4.60E-01,18,1.20E-01,24,5.90E-01,15,5.00E-01,20,2.80E-01,20,3.00E-01,19
GOTERM_BP_5,positive regulation of secretion,8.30E-01,48,8.80E-01,46,1.00E+00,#N/A,5.60E-01,45,8.80E-01,53,9.70E-01,44,9.20E-01,44
GOTERM_BP_5,positive regulation of glucose transport,4.80E-01,12,7.70E-01,10,8.60E-01,11,5.70E-01,10,5.20E-01,13,8.10E-01,10,1.00E+00,#N/A
GOTERM_BP_5,oocyte differentiation,1.00E+00,#N/A,1.00E+00,#N/A,7.40E-01,12,1.00E+00,#N/A,6.80E-01,12,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of proteolysis,6.50E-01,11,2.90E-01,13,1.40E-01,16,4.00E-01,11,1.00E+00,#N/A,2.00E-01,14,5.90E-01,11
GOTERM_BP_5,branching involved in ureteric bud morphogenesis,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of glucose import,4.80E-01,12,7.70E-01,10,8.60E-01,11,5.70E-01,10,5.20E-01,13,8.10E-01,10,1.00E+00,#N/A
GOTERM_BP_5,mesenchyme development,8.00E-01,23,1.00E+00,16,7.80E-01,27,9.10E-01,18,9.90E-01,21,9.80E-01,19,9.60E-01,19
GOTERM_BP_5,regulation of transforming growth factor beta receptor signaling pathway,6.20E-01,19,3.30E-01,21,3.40E-01,24,4.10E-01,18,5.10E-01,22,2.80E-01,22,2.90E-01,21
GOTERM_BP_5,positive regulation of neurological system process,4.90E-01,20,3.30E-01,21,5.90E-01,22,1.20E-01,21,3.80E-01,23,6.50E-01,19,5.40E-01,19
GOTERM_BP_5,vasodilation,4.70E-01,14,2.90E-01,15,3.00E-01,17,1.20E-01,15,2.40E-01,17,4.90E-01,14,2.60E-01,15
GOTERM_BP_5,regulation of nuclear division,5.00E-01,28,4.40E-01,28,8.60E-01,28,2.30E-01,27,8.60E-01,27,4.30E-01,29,6.10E-01,26
GOTERM_BP_5,regulation of mitosis,5.00E-01,28,4.40E-01,28,8.60E-01,28,2.30E-01,27,8.60E-01,27,4.30E-01,29,6.10E-01,26
GOTERM_BP_5,ribonucleoprotein complex assembly,7.70E-02,40,1.10E-02,43,7.30E-03,49,4.50E-01,30,2.40E-02,46,1.30E-03,47,2.60E-02,41
GOTERM_BP_5,positive regulation of cell adhesion,9.90E-01,21,9.50E-01,23,8.60E-01,30,3.80E-01,27,9.70E-01,26,7.20E-01,28,9.60E-01,22
GOTERM_BP_5,immunoglobulin production,9.10E-01,12,9.50E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,10,9.60E-01,11,1.00E+00,#N/A
GOTERM_BP_5,regulation of lipid transport,6.00E-01,15,4.20E-01,16,3.40E-01,19,8.40E-01,11,6.90E-01,16,9.20E-01,12,7.90E-01,13
GOTERM_BP_5,regulation of glucose transport,5.80E-01,17,7.80E-01,15,1.00E+00,#N/A,6.70E-01,14,8.00E-01,17,7.30E-01,16,9.60E-01,12
GOTERM_BP_5,positive regulation of behavior,8.10E-01,15,6.70E-01,16,6.40E-01,19,2.70E-01,17,8.00E-01,17,3.40E-01,19,7.60E-01,15
GOTERM_BP_5,regulation of exocytosis,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,9.90E-01,12,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of vasoconstriction,7.00E-01,16,9.70E-01,12,1.00E+00,#N/A,7.90E-01,13,8.80E-01,16,9.50E-01,13,9.60E-01,12
GOTERM_BP_5,lipid homeostasis,4.50E-01,26,8.80E-01,21,8.80E-01,25,9.80E-01,15,9.80E-01,21,9.20E-01,21,9.10E-01,20
GOTERM_BP_5,cellular amino acid biosynthetic process,1.10E-01,30,2.70E-02,32,3.10E-01,31,8.70E-02,27,3.30E-01,30,7.70E-02,31,1.20E-01,29
GOTERM_BP_5,mesenchymal cell development,8.40E-01,22,1.00E+00,16,8.20E-01,26,8.90E-01,18,9.90E-01,20,9.80E-01,19,9.50E-01,19
GOTERM_BP_5,mesenchymal cell differentiation,8.40E-01,22,1.00E+00,16,8.20E-01,26,8.90E-01,18,9.90E-01,20,9.80E-01,19,9.50E-01,19
GOTERM_BP_5,positive regulation of transcription,9.90E-01,239,7.90E-01,254,4.50E-01,310,9.80E-01,208,1.00E+00,269,9.80E-01,247,8.70E-01,246
GOTERM_BP_5,mesoderm morphogenesis,5.60E-01,19,9.80E-01,13,8.50E-01,19,9.50E-01,12,9.30E-01,17,7.10E-01,18,9.70E-01,13
GOTERM_BP_5,regulation of interferon-gamma biosynthetic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of response to nutrient levels,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,brain morphogenesis,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of cellular amine metabolic process,9.50E-02,10,1.00E+00,#N/A,8.60E-02,11,1.00E+00,#N/A,1.80E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,oocyte maturation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of endothelial cell migration,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of response to extracellular stimulus,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of interferon-beta production,1.00E+00,#N/A,1.00E+00,#N/A,2.20E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E-01,10,1.00E+00,#N/A
GOTERM_BP_5,immunoglobulin production during immune response,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of multicellular organismal metabolic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,forebrain neuron differentiation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,hair follicle maturation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,motor axon guidance,1.00E+00,#N/A,1.00E+00,#N/A,2.20E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,cortical actin cytoskeleton organization,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of heart contraction,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of transcription factor import into nucleus,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,middle ear morphogenesis,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of interleukin-2 biosynthetic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,superoxide anion generation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of natural killer cell mediated cytotoxicity,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,"protein import into nucleus, docking",1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,5.90E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,hydrogen peroxide catabolic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of myeloid leukocyte differentiation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,response to zinc ion,1.00E+00,#N/A,3.80E-01,10,6.40E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of JNK cascade,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,vasoconstriction,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,4.00E-01,11,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,preassembly of GPI anchor in ER membrane,1.00E+00,#N/A,1.00E+00,#N/A,4.60E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,pattern recognition receptor signaling pathway,4.10E-01,10,1.00E+00,#N/A,4.60E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of natural killer cell mediated immunity,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,RNA biosynthetic process,4.70E-01,142,7.20E-01,134,2.30E-01,169,9.00E-01,111,7.80E-01,151,7.70E-01,137,7.80E-01,130
GOTERM_BP_5,meiosis I,9.10E-01,17,8.90E-01,17,6.60E-01,23,8.70E-01,15,7.90E-01,21,9.60E-01,16,9.60E-01,15
GOTERM_BP_5,immune response-regulating cell surface receptor signaling pathway,9.90E-01,14,8.90E-01,17,1.00E+00,#N/A,9.60E-01,13,1.00E+00,15,9.80E-01,15,8.70E-01,17
GOTERM_BP_5,positive regulation of lyase activity,9.20E-01,24,6.90E-01,27,5.70E-01,33,4.40E-01,26,9.30E-01,27,8.40E-01,26,7.40E-01,26
GOTERM_BP_5,regulation of neurotransmitter secretion,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of homeostatic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.90E-01,12,7.50E-01,11,1.00E+00,#N/A,5.10E-01,11
GOTERM_BP_5,G2/M transition of mitotic cell cycle,1.00E+00,#N/A,5.40E-01,11,4.90E-01,13,1.00E+00,#N/A,7.50E-01,11,6.00E-01,11,6.80E-01,10
GOTERM_BP_5,oocyte development,1.00E+00,#N/A,1.00E+00,#N/A,8.00E-01,11,1.00E+00,#N/A,7.50E-01,11,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of muscle contraction,4.00E-01,12,3.70E-01,12,3.20E-01,14,9.40E-02,13,4.30E-01,13,4.20E-01,12,5.10E-01,11
GOTERM_BP_5,phosphatidylcholine metabolic process,5.70E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of survival gene product expression,4.00E-01,12,3.70E-01,12,6.60E-01,12,1.00E+00,#N/A,8.70E-01,10,6.00E-01,11,5.10E-01,11
GOTERM_BP_5,translation,2.70E-04,189,2.90E-04,186,1.30E-04,214,2.30E-04,167,9.90E-06,214,4.90E-05,195,1.90E-07,198
GOTERM_BP_5,sensory organ development,9.90E-01,92,9.90E-01,90,1.00E+00,#N/A,9.00E-01,85,9.90E-01,103,9.90E-01,93,9.80E-01,90
GOTERM_BP_5,protein amino acid O-linked glycosylation,2.50E-01,15,2.20E-01,15,2.20E-01,17,1.70E-01,14,4.50E-01,15,7.90E-02,17,1.10E-01,16
GOTERM_BP_5,positive regulation of innate immune response,8.30E-01,20,8.00E-01,20,1.00E+00,#N/A,9.70E-01,14,9.60E-01,20,5.60E-01,23,6.70E-01,21
GOTERM_BP_5,"positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process",9.90E-01,268,8.20E-01,280,3.70E-01,345,9.50E-01,235,1.00E+00,299,9.90E-01,273,9.20E-01,269
GOTERM_BP_5,neutral lipid metabolic process,8.80E-01,21,9.70E-01,18,1.00E+00,#N/A,9.90E-01,14,1.00E+00,18,9.80E-01,18,9.80E-01,17
GOTERM_BP_5,regulation of glucose import,5.10E-01,17,7.40E-01,15,8.90E-01,16,6.20E-01,14,7.50E-01,17,6.80E-01,16,9.50E-01,12
GOTERM_BP_5,regulation of innate immune response,8.00E-01,24,7.60E-01,24,1.00E+00,#N/A,9.70E-01,17,9.50E-01,24,4.30E-01,28,8.10E-01,23
GOTERM_BP_5,positive regulation of transmission of nerve impulse,5.00E-01,19,4.60E-01,19,7.10E-01,20,1.20E-01,20,5.00E-01,21,6.60E-01,18,5.50E-01,18
GOTERM_BP_5,lipoprotein biosynthetic process,3.90E-01,30,5.40E-01,28,2.20E-01,36,7.90E-01,22,7.10E-01,30,7.30E-01,27,7.80E-01,25
GOTERM_BP_5,DNA recombination,8.40E-01,46,6.00E-01,49,1.00E+00,#N/A,7.30E-01,41,6.40E-01,55,9.40E-01,44,9.00E-01,43
GOTERM_BP_5,positive regulation of gene expression,1.00E+00,243,8.10E-01,261,4.60E-01,319,9.60E-01,217,9.90E-01,278,9.80E-01,255,8.40E-01,255
GOTERM_BP_5,acylglycerol metabolic process,8.50E-01,21,9.60E-01,18,1.00E+00,#N/A,9.90E-01,14,1.00E+00,17,9.80E-01,18,9.80E-01,17
GOTERM_BP_5,regulation of sterol transport,6.60E-01,10,4.60E-01,11,3.90E-01,13,1.00E+00,#N/A,6.80E-01,11,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of leukocyte migration,1.00E+00,#N/A,1.00E+00,#N/A,7.30E-01,11,4.30E-01,10,1.00E+00,#N/A,5.10E-01,11,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of lymphocyte differentiation,1.00E+00,#N/A,1.00E+00,#N/A,5.40E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of the force of heart contraction,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,focal adhesion formation,1.00E+00,#N/A,1.00E+00,#N/A,5.40E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,response to morphine,1.00E+00,#N/A,1.00E+00,#N/A,5.40E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of carbohydrate catabolic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of cellular carbohydrate catabolic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,lipid phosphorylation,1.00E+00,#N/A,2.90E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,4.90E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,actin cytoskeleton reorganization,1.00E+00,#N/A,1.00E+00,#N/A,5.40E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,bone mineralization,1.00E+00,#N/A,1.00E+00,#N/A,5.40E-01,10,1.50E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,response to isoquinoline alkaloid,1.00E+00,#N/A,1.00E+00,#N/A,5.40E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of blood vessel size,6.60E-01,25,5.10E-01,26,8.20E-01,27,5.00E-01,23,4.40E-01,30,4.90E-01,27,5.70E-01,25
GOTERM_BP_5,negative regulation of RNA metabolic process,9.40E-01,158,9.90E-01,149,6.90E-01,194,9.40E-01,134,9.90E-01,171,9.80E-01,156,9.90E-01,145
GOTERM_BP_5,cardiac cell differentiation,9.20E-01,11,5.70E-01,14,8.50E-01,14,7.60E-01,11,5.40E-01,16,8.70E-01,12,8.90E-01,11
GOTERM_BP_5,pituitary gland development,2.00E-01,17,4.20E-01,15,3.20E-01,18,4.80E-01,13,8.00E-01,14,8.70E-01,12,5.40E-01,14
GOTERM_BP_5,positive regulation of cell-substrate adhesion,9.70E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,7.60E-01,11,9.80E-01,11,8.70E-01,12,9.50E-01,10
GOTERM_BP_5,acrosome reaction,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,neuron projection regeneration,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,plasma lipoprotein particle assembly,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,isotype switching,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of muscle contraction,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of glycolysis,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,somatic diversification of immunoglobulins during immune response,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of dendrite morphogenesis,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,fibrinolysis,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,quaternary ammonium group transport,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,pyrimidine deoxyribonucleotide metabolic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,neutral lipid biosynthetic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,embryonic eye morphogenesis,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,mitochondrial respiratory chain complex assembly,1.00E+00,#N/A,1.00E+00,#N/A,1.30E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,5.50E-02,10,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of mitotic cell cycle,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,acylglycerol biosynthetic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,somatic recombination of immunoglobulin genes during immune response,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,mesoderm development,8.50E-01,32,9.70E-01,28,5.70E-01,41,9.40E-01,25,9.00E-01,35,8.20E-01,33,9.60E-01,28
GOTERM_BP_5,positive regulation of cell cycle,4.40E-01,29,9.40E-01,22,8.90E-01,28,9.70E-01,18,1.00E+00,20,5.80E-01,28,8.30E-01,24
GOTERM_BP_5,leukocyte migration,1.00E+00,14,9.90E-01,19,1.00E+00,#N/A,9.80E-01,17,1.00E+00,18,1.00E+00,18,1.00E+00,16
GOTERM_BP_5,positive regulation of cyclase activity,9.60E-01,22,7.80E-01,25,6.60E-01,31,4.60E-01,25,9.30E-01,26,9.00E-01,24,8.30E-01,24
GOTERM_BP_5,central nervous system neuron development,5.90E-01,16,4.10E-01,17,3.50E-01,20,1.80E-01,17,2.80E-01,20,6.10E-01,16,5.10E-01,16
GOTERM_BP_5,platelet activation,9.80E-01,11,9.70E-01,11,1.00E+00,#N/A,9.50E-01,10,1.00E+00,10,9.90E-01,10,1.00E+00,#N/A
GOTERM_BP_5,"negative regulation of transcription, DNA-dependent",9.60E-01,154,9.80E-01,148,6.40E-01,192,9.20E-01,133,9.90E-01,169,9.70E-01,154,9.90E-01,142
GOTERM_BP_5,positive regulation of cytokine biosynthetic process,1.00E+00,15,1.00E+00,12,1.00E+00,#N/A,1.00E+00,11,1.00E+00,15,1.00E+00,15,1.00E+00,14
GOTERM_BP_5,phosphoinositide metabolic process,5.90E-01,35,7.10E-01,33,6.20E-01,40,6.10E-01,30,6.80E-01,38,5.40E-01,36,8.20E-01,31
GOTERM_BP_5,inner ear morphogenesis,3.90E-01,29,7.50E-01,25,7.00E-01,30,6.30E-01,23,7.90E-01,28,8.10E-01,25,9.10E-01,22
GOTERM_BP_5,dorsal/ventral pattern formation,7.70E-01,27,9.20E-01,24,8.60E-01,30,9.40E-01,20,9.70E-01,26,8.60E-01,26,6.90E-01,27
GOTERM_BP_5,regulation of systemic arterial blood pressure mediated by a chemical signal,9.00E-01,11,6.50E-01,13,1.00E+00,#N/A,7.10E-01,11,8.50E-01,13,5.70E-01,14,1.00E+00,#N/A
GOTERM_BP_5,somatic diversification of immune receptors,9.50E-01,10,7.80E-01,12,1.00E+00,#N/A,1.00E+00,#N/A,9.90E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,genitalia development,1.00E+00,#N/A,1.00E+00,#N/A,3.40E-01,15,6.30E-01,10,7.50E-01,12,8.50E-01,10,1.00E+00,#N/A
GOTERM_BP_5,regulation of tumor necrosis factor production,1.00E+00,#N/A,9.80E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,9.60E-01,13,9.70E-01,11,9.80E-01,10
GOTERM_BP_5,activation of innate immune response,5.90E-01,10,1.00E+00,#N/A,6.50E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,spleen development,1.00E+00,#N/A,5.60E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,response to amphetamine,1.00E+00,#N/A,1.00E+00,#N/A,6.50E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of interleukin-2 biosynthetic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
